data,original,lagged_1,lagged_2,lagged_3,lagged_4,lagged_5,lagged_6,lagged_7,lagged_8,lagged_9,lagged_10,lagged_11,lagged_12
1995-01-31 00:00:00,12.10,,,,,,,,,,,,
1995-02-28 00:00:00,12.90,0.06,0.0870,0.1095,0.1020,0.0870,0.0794,0.0640,0.0946,0.1020,0.1242,0.0870,0.0794
1995-03-31 00:00:00,13.20,0.02,0.0455,0.0380,0.0230,0.0154,0.0000,0.0305,0.0380,0.0602,0.0230,0.0154,0.0674
1995-04-30 00:00:00,13.50,0.02,0.0150,0.0000,-0.0076,-0.0230,0.0075,0.0150,0.0372,0.0000,-0.0076,0.0445,0.1278
1995-05-31 00:00:00,13.40,-0.01,-0.0225,-0.0301,-0.0455,-0.0149,-0.0074,0.0147,-0.0225,-0.0301,0.0220,0.1054,0.1636
1995-06-30 00:00:00,13.20,-0.02,-0.0226,-0.0380,-0.0075,0.0000,0.0221,-0.0150,-0.0226,0.0294,0.1128,0.1711,0.1836
1995-07-31 00:00:00,13.10,-0.01,-0.0230,0.0075,0.0150,0.0372,0.0000,-0.0076,0.0445,0.1278,0.1861,0.1986,0.2048
1995-08-31 00:00:00,12.90,-0.02,0.0152,0.0226,0.0448,0.0076,0.0000,0.0521,0.1354,0.1937,0.2062,0.2124,0.1810
1995-09-30 00:00:00,13.30,0.03,0.0380,0.0602,0.0230,0.0154,0.0674,0.1508,0.2091,0.2216,0.2278,0.1964,0.1836
1995-10-31 00:00:00,13.40,0.01,0.0296,-0.0075,-0.0152,0.0369,0.1203,0.1786,0.1911,0.1972,0.1659,0.1531,0.1069
1995-11-30 00:00:00,13.70,0.02,-0.0150,-0.0226,0.0294,0.1128,0.1711,0.1836,0.1898,0.1584,0.1456,0.0994,0.0994
1995-12-31 00:00:00,13.20,-0.04,-0.0448,0.0073,0.0907,0.1489,0.1614,0.1676,0.1363,0.1234,0.0772,0.0772,0.0568
1996-01-31 00:00:00,13.10,-0.01,0.0445,0.1278,0.1861,0.1986,0.2048,0.1734,0.1606,0.1144,0.1144,0.0939,0.0730
1996-02-29 00:00:00,13.80,0.05,0.1354,0.1937,0.2062,0.2124,0.1810,0.1682,0.1220,0.1220,0.1015,0.0806,0.0593
1996-03-31 00:00:00,15.00,0.08,0.1417,0.1542,0.1603,0.1290,0.1162,0.0700,0.0700,0.0495,0.0286,0.0072,0.0286
1996-04-30 00:00:00,15.90,0.06,0.0708,0.0770,0.0456,0.0328,-0.0134,-0.0134,-0.0339,-0.0548,-0.0762,-0.0548,0.0000
1996-05-31 00:00:00,16.10,0.01,0.0187,-0.0127,-0.0255,-0.0717,-0.0717,-0.0922,-0.1131,-0.1344,-0.1131,-0.0583,0.0000
1996-06-30 00:00:00,16.20,0.01,-0.0252,-0.0380,-0.0842,-0.0842,-0.1047,-0.1256,-0.1469,-0.1256,-0.0708,-0.0125,-0.0062
1996-07-31 00:00:00,15.70,-0.03,-0.0442,-0.0904,-0.0904,-0.1109,-0.1318,-0.1531,-0.1318,-0.0770,-0.0187,-0.0124,-0.0124
1996-08-31 00:00:00,15.50,-0.01,-0.0590,-0.0590,-0.0795,-0.1004,-0.1218,-0.1004,-0.0456,0.0127,0.0189,0.0189,0.0000
1996-09-30 00:00:00,14.80,-0.05,-0.0462,-0.0667,-0.0876,-0.1090,-0.0876,-0.0328,0.0255,0.0317,0.0317,0.0128,0.0255
1996-10-31 00:00:00,14.80,0.00,-0.0205,-0.0414,-0.0627,-0.0414,0.0134,0.0717,0.0780,0.0780,0.0590,0.0717,0.0965
